epoch,loss,mae,mse,val_loss,val_mae,val_mse
1,371.1836853027344,13.661589622497559,370.98187255859375,6.769293308258057,1.9870303869247437,6.460882186889648
2,63.443397521972656,5.754524230957031,63.114837646484375,2.9986495971679688,1.3936747312545776,2.6619937419891357
3,11.944000244140625,2.5083231925964355,11.606328010559082,2.2704718112945557,1.1496843099594116,1.9327166080474854
4,5.652702331542969,1.7558910846710205,5.315229892730713,2.0304248332977295,1.050743818283081,1.6930102109909058
5,3.876371145248413,1.4555435180664062,3.539222002029419,1.525921106338501,0.8226920962333679,1.1890792846679688
6,2.5644402503967285,1.1372414827346802,2.2279605865478516,1.351905107498169,0.7841743230819702,1.0158603191375732
7,2.177114725112915,1.0941003561019897,1.8414658308029175,1.400634527206421,0.8310884833335876,1.0653208494186401
8,1.9062789678573608,1.006731629371643,1.5713692903518677,1.1151041984558105,0.7014788389205933,0.7806960940361023
9,1.7801203727722168,0.9744822978973389,1.4462181329727173,1.2565960884094238,0.7947778701782227,0.9232285022735596
10,1.4259905815124512,0.8147344589233398,1.093112587928772,1.0989018678665161,0.7129018306732178,0.7665280699729919
